"id_cliente","id_origem_comercial","id_usuario_cadastro","id_escolaridade","id_estado_civil","id_profissao","id_ocupacao","id_moradia","nm_cliente","dt_cadastro","dt_nascimento","fl_sexo","ds_email","nm_cidade_natal","cd_uf_natal","nm_cidade","cd_uf","fl_titularidade","fl_tipo_pessoa","fl_status_analise","fl_status_conta"
20499,64,68,3,5,39,11,1,CLIENTE NUMERO 20499,2022-02-19 10:44:30.000,1968-06-28,M,emailcliente20499@hotmail.com,COROADOS,SP,GLICERIO,SP,T,F,A,B
20506,58,51,2,3,13,6,6,CLIENTE NUMERO 20506,2022-03-29 17:52:34.000,1981-10-03,M,emailcliente20506@hotmail.com,JALES,SP,ASPASIA,SP,T,F,A,B
20519,46,65,1,6,61,3,4,CLIENTE NUMERO 20519,2022-06-09 18:23:24.000,1979-03-28,M,emailcliente20519@hotmail.com,SAO PAULO,,BIRIGUI,SP,T,F,A,A
20525,97,61,3,6,16,7,2,CLIENTE NUMERO 20525,2021-11-23 13:23:53.000,1988-08-05,F,emailcliente20525@hotmail.com,BASTOS,SP,COROADOS,SP,T,F,A,B
20600,31,70,2,7,92,3,5,CLIENTE NUMERO 20600,2021-11-21 12:16:28.000,1987-07-05,M,emailcliente20600@hotmail.com,BURUTAMA,,BIRIGUI,SP,T,F,A,B
20611,8,8,3,2,10,5,6,CLIENTE NUMERO 20611,2021-05-02 10:12:07.000,1985-05-11,F,emailcliente20611@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,A
20658,76,3,2,2,36,7,3,CLIENTE NUMERO 20658,2022-09-10 11:19:40.000,1998-10-11,M,emailcliente20658@hotmail.com,BURITAMA ,SP,PLANALTO,SP,T,F,A,B
20662,43,47,3,7,106,7,3,CLIENTE NUMERO 20662,2021-01-20 19:02:17.000,1967-02-26,M,emailcliente20662@hotmail.com,FLORIDA PAULISTA,SP,BIRIGUI,SP,T,F,A,B
20739,83,17,4,6,66,4,3,CLIENTE NUMERO 20739,2021-10-06 17:40:05.000,1993-09-23,F,emailcliente20739@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,B
20768,37,57,1,2,60,8,4,CLIENTE NUMERO 20768,2022-07-19 11:57:52.000,1976-03-18,F,emailcliente20768@hotmail.com,BIRIGUI SP,SP,BURITAMA,SP,T,F,A,B
20809,74,56,3,3,31,1,1,CLIENTE NUMERO 20809,2021-01-15 14:30:37.000,1997-03-20,M,emailcliente20809@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,B
20812,94,12,1,5,10,10,1,CLIENTE NUMERO 20812,2021-01-21 16:52:15.000,1958-05-31,F,emailcliente20812@hotmail.com,PIUMHI,MG,BURITAMA,SP,T,F,A,A
20825,70,91,1,6,44,7,5,CLIENTE NUMERO 20825,2021-04-20 11:22:04.000,1948-05-13,F,emailcliente20825@hotmail.com,ARACATUBA,SP,BIRIGUI,SP,T,F,A,B
20867,69,10,3,4,104,1,6,CLIENTE NUMERO 20867,2021-11-05 14:32:17.000,1979-09-13,M,emailcliente20867@hotmail.com,ATIBAIA,SP,BURITAMA,SP,T,F,A,B
20977,58,9,4,1,14,2,5,CLIENTE NUMERO 20977,2021-07-23 13:03:30.000,1965-09-08,F,emailcliente20977@hotmail.com,NOVA OLINDA,PB,BIRIGUI,SP,T,F,A,B
21014,75,56,4,8,76,7,3,CLIENTE NUMERO 21014,2022-06-01 20:14:25.000,1957-09-07,M,emailcliente21014@hotmail.com,BURITAMA SP,SP,BURITAMA SP,SP,T,F,A,A
21023,26,73,4,3,29,6,1,CLIENTE NUMERO 21023,2022-02-08 10:48:48.000,1954-09-04,M,emailcliente21023@hotmail.com,HERCULANDIA,SP,COROADOS,SP,T,F,A,B
21057,97,72,4,2,82,3,2,CLIENTE NUMERO 21057,2022-01-29 16:09:20.000,1993-09-27,M,emailcliente21057@hotmail.com,MIRASSOL,SP,MONCOES,SP,T,F,A,A
21134,54,72,2,7,11,10,1,CLIENTE NUMERO 21134,2021-07-30 17:38:04.000,1992-08-17,F,emailcliente21134@hotmail.com,BURITAMA,SP,BURITAMA,SP,T,F,A,A
21158,24,39,2,7,45,1,4,CLIENTE NUMERO 21158,2022-08-08 10:57:03.000,1976-11-13,F,emailcliente21158@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,A
21188,63,68,1,6,36,6,1,CLIENTE NUMERO 21188,2022-08-01 18:15:17.000,1994-03-28,M,emailcliente21188@hotmail.com,ARACATUBA,SP,BIRIGUI,SP,T,F,A,B
21204,36,3,3,8,81,10,6,CLIENTE NUMERO 21204,2021-10-02 11:18:19.000,1997-03-07,F,emailcliente21204@hotmail.com,BREJO DA MADRE DE DEUS,PE,BRAUNA,SP,T,F,A,A
21212,85,97,2,6,96,1,4,CLIENTE NUMERO 21212,2021-05-31 09:52:46.000,1974-01-05,F,emailcliente21212@hotmail.com,BURITAMA,SP,BURITAMA,SP,T,F,A,A
21217,66,79,4,8,100,9,1,CLIENTE NUMERO 21217,2021-10-10 12:32:10.000,1972-02-25,M,emailcliente21217@hotmail.com,IEPE,SP,BRAUNA,SP,T,F,A,B
21234,15,78,4,8,18,2,4,CLIENTE NUMERO 21234,2021-09-05 12:29:55.000,2000-01-22,M,emailcliente21234@hotmail.com,TUPA,SP,BIRIGUI,SP,T,F,A,B
21277,6,46,2,1,25,8,3,CLIENTE NUMERO 21277,2021-01-13 14:37:27.000,1993-04-08,M,emailcliente21277@hotmail.com,BIRIGUI,SP,BURITAMA,SP,T,F,A,B
21297,48,19,3,8,92,4,6,CLIENTE NUMERO 21297,2021-06-12 16:25:16.000,1976-10-23,F,emailcliente21297@hotmail.com,MURICI,AL,BIRIGUI,SP,T,F,A,A
21317,29,38,2,1,85,7,4,CLIENTE NUMERO 21317,2022-02-05 14:36:57.000,1978-11-06,F,emailcliente21317@hotmail.com,BIRIGUI,SP,BURITAMA,SP,T,F,A,A
21364,62,83,4,4,33,11,2,CLIENTE NUMERO 21364,2021-06-09 18:27:56.000,1989-05-16,F,emailcliente21364@hotmail.com,CATANDUVA,SP,BIRIGUI,SP,T,F,A,B
21378,19,68,3,7,38,1,6,CLIENTE NUMERO 21378,2023-04-23 08:14:36.000,1969-12-28,M,emailcliente21378@hotmail.com,SANTOS,SP,BIRIGUI,SP,T,F,A,B
21420,21,98,1,4,25,4,4,CLIENTE NUMERO 21420,2022-01-25 16:04:04.000,1966-04-22,F,emailcliente21420@hotmail.com,MARILIA,SP,ZACARIAS,SP,T,F,A,A
21467,65,24,4,2,14,7,2,CLIENTE NUMERO 21467,2021-09-30 10:37:10.000,1982-01-20,F,emailcliente21467@hotmail.com,BURITAMA SP,,BURITAMA ,SP,T,F,A,A
21513,58,55,2,7,106,5,4,CLIENTE NUMERO 21513,2021-09-23 11:48:27.000,1986-03-19,F,emailcliente21513@hotmail.com,BIRIGUI ,SP,BURITAMA ,SP,T,F,A,B
21520,76,22,2,4,43,2,2,CLIENTE NUMERO 21520,2021-05-24 09:01:00.000,1988-06-26,M,emailcliente21520@hotmail.com,ROSANA ,SP,BIRIGUI,SP,T,F,A,A
21596,53,79,4,1,29,1,5,CLIENTE NUMERO 21596,2021-11-22 16:51:37.000,1982-05-05,M,emailcliente21596@hotmail.com,OSASCO ,SP,BIRIGUI,SP,T,F,A,A
21615,61,79,3,4,89,5,6,CLIENTE NUMERO 21615,2022-12-18 10:50:51.000,1967-04-19,M,emailcliente21615@hotmail.com,BAURU,SP,BIRIGUI,SP,T,F,A,B
21617,96,34,3,8,56,8,6,CLIENTE NUMERO 21617,2021-06-14 17:48:08.000,1996-09-20,M,emailcliente21617@hotmail.com,ARACATUBA,SP,BIRIGUI,SP,T,F,A,B
21657,68,2,2,1,33,4,4,CLIENTE NUMERO 21657,2023-02-04 18:41:48.000,1989-03-14,M,emailcliente21657@hotmail.com,PENAPOLIS,SP,BIRIGUI,SP,T,F,A,B
21662,39,26,3,7,13,6,5,CLIENTE NUMERO 21662,2022-12-12 12:13:59.000,1990-12-06,F,emailcliente21662@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,B
21670,50,92,4,6,39,11,1,CLIENTE NUMERO 21670,2022-06-03 19:17:54.000,1983-03-22,M,emailcliente21670@hotmail.com,CAMPINAS,SP,BURITAMA,SP,T,F,A,B
21702,39,91,3,8,79,3,4,CLIENTE NUMERO 21702,2021-07-20 13:02:48.000,1966-04-23,F,emailcliente21702@hotmail.com,CAMPO GRANDE ,MS,BIRIGUI,SP,T,F,A,A
21734,74,10,2,1,12,8,4,CLIENTE NUMERO 21734,2021-11-24 17:42:04.000,1977-07-02,M,emailcliente21734@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,B
21753,10,27,3,6,35,4,3,CLIENTE NUMERO 21753,2023-03-22 11:17:00.000,1956-03-26,M,emailcliente21753@hotmail.com,ANDRADINA SP,SP,BURITAMA,SP,T,F,A,A
21785,91,24,1,3,39,9,5,CLIENTE NUMERO 21785,2021-10-16 07:50:01.000,1979-05-10,M,emailcliente21785@hotmail.com,RINOPOLIS,SP,RINOPOLIS,SP,T,F,A,A
21924,70,66,4,8,67,7,4,CLIENTE NUMERO 21924,2021-09-24 13:17:50.000,1976-10-16,F,emailcliente21924@hotmail.com,ITUPEVA,SP,BREJO ALEGRE,SP,T,F,A,A
22008,75,63,4,1,47,1,3,CLIENTE NUMERO 22008,2021-11-28 10:40:19.000,1953-11-04,F,emailcliente22008@hotmail.com,PASSOS,MG,BIRIGUI,SP,T,F,A,B
22033,37,36,2,2,86,5,1,CLIENTE NUMERO 22033,2022-12-28 18:06:52.000,1987-05-29,M,emailcliente22033@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,A
22058,25,27,1,3,19,3,5,CLIENTE NUMERO 22058,2021-02-07 10:21:24.000,1968-06-24,F,emailcliente22058@hotmail.com,BONITO,MT,BIRIGUI,SP,T,F,A,A
22137,28,38,3,4,99,7,4,CLIENTE NUMERO 22137,2023-01-27 19:34:11.000,1992-02-16,M,emailcliente22137@hotmail.com,ARACATUBA,SP,BIRIGUI,SP,T,F,A,A
22140,72,99,3,7,32,5,1,CLIENTE NUMERO 22140,2021-11-02 10:44:28.000,1978-04-03,M,emailcliente22140@hotmail.com,BURITAMA,SP,TURIUBA,SP,T,F,A,B
22141,70,70,1,6,77,9,1,CLIENTE NUMERO 22141,2021-08-31 19:49:22.000,2000-07-20,F,emailcliente22141@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,B
22158,4,58,2,5,2,10,6,CLIENTE NUMERO 22158,2021-11-12 17:52:40.000,1991-10-25,F,emailcliente22158@hotmail.com,BIRIGUI ,SP,BIRIGUI,SP,T,F,A,B
22172,83,14,3,8,104,4,2,CLIENTE NUMERO 22172,2021-11-09 09:07:53.000,1974-01-23,F,emailcliente22172@hotmail.com,SANTA CRUZ MONTE CASTELO,PR,BIRIGUI,SP,T,F,A,A
22196,57,34,3,2,1,3,2,CLIENTE NUMERO 22196,2021-03-19 12:51:38.000,1970-01-26,F,emailcliente22196@hotmail.com,TURIUBA,SP,BURITAMA,SP,T,F,A,B
22207,65,81,2,5,12,4,6,CLIENTE NUMERO 22207,2023-01-18 15:43:50.000,1984-09-29,F,emailcliente22207@hotmail.com,SAO BERNARDO DO CAMPO ,SP,BIRIGUI,SP,T,F,A,B
22224,98,91,2,2,84,3,6,CLIENTE NUMERO 22224,2022-04-08 13:23:14.000,1972-04-28,M,emailcliente22224@hotmail.com,PLANALTO SP,SP,BURITAMA SP,SP,T,F,A,B
22264,40,48,2,7,76,4,4,CLIENTE NUMERO 22264,2022-11-16 19:06:23.000,1985-10-20,F,emailcliente22264@hotmail.com,PALMARES,PE,BIRIGUI,SP,T,F,A,B
22278,97,3,1,7,79,10,6,CLIENTE NUMERO 22278,2022-04-02 13:42:36.000,1996-02-19,M,emailcliente22278@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,B
22349,70,33,4,3,65,6,4,CLIENTE NUMERO 22349,2021-06-11 18:33:29.000,1997-03-26,M,emailcliente22349@hotmail.com,TANABI ,SP,BURITAMA ,SP,T,F,A,B
22353,68,78,3,1,78,5,1,CLIENTE NUMERO 22353,2021-10-27 17:16:02.000,1958-03-23,F,emailcliente22353@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,A
22361,92,85,4,4,83,7,3,CLIENTE NUMERO 22361,2021-02-05 16:58:01.000,1987-02-04,F,emailcliente22361@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,B
22371,5,97,4,8,24,4,4,CLIENTE NUMERO 22371,2021-11-08 14:20:32.000,1994-09-26,M,emailcliente22371@hotmail.com,ITUBERA,BA,ZACARIAS,SP,T,F,A,B
22396,56,21,2,7,66,10,3,CLIENTE NUMERO 22396,2021-11-06 11:40:58.000,1968-12-21,M,emailcliente22396@hotmail.com,CIANORTE,PR,BIRIGUI,SP,T,F,A,A
22434,52,92,4,4,1,6,3,CLIENTE NUMERO 22434,2021-10-18 18:02:46.000,1987-01-25,M,emailcliente22434@hotmail.com,BAIXA GRANDE,BA,BIRIGUI,SP,T,F,A,A
22509,21,84,4,6,14,5,3,CLIENTE NUMERO 22509,2022-09-20 12:43:44.000,1979-09-23,F,emailcliente22509@hotmail.com,GALINHOS ,RN,BIRIGUI,SP,T,F,A,B
22525,80,70,1,7,86,8,5,CLIENTE NUMERO 22525,2021-11-20 12:11:19.000,1964-11-26,F,emailcliente22525@hotmail.com,TAMBOARA,PR,BRAUNA,SP,T,F,A,A
22526,54,24,4,2,75,11,3,CLIENTE NUMERO 22526,2021-09-05 12:32:52.000,1990-01-09,M,emailcliente22526@hotmail.com,PRESIDENTE DULTRA,MA,BIRIGUI,SP,T,F,A,B
22543,41,45,2,3,36,9,3,CLIENTE NUMERO 22543,2021-10-07 16:42:52.000,1952-06-22,M,emailcliente22543@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,B
22592,85,26,4,8,51,2,5,CLIENTE NUMERO 22592,2023-03-10 19:23:41.000,1988-11-15,F,emailcliente22592@hotmail.com,FERNANDOPOLIS,SP,BIRIGUI,SP,T,F,A,A
22651,10,22,2,1,1,9,3,CLIENTE NUMERO 22651,2022-11-14 08:33:47.000,1952-11-18,F,emailcliente22651@hotmail.com,ZACARIAS,SP,BURITAMA,SP,T,F,A,A
22658,2,3,2,2,13,3,5,CLIENTE NUMERO 22658,2021-11-25 08:27:11.000,1968-03-28,M,emailcliente22658@hotmail.com,GUARACAI,SP,BIRIGUI,SP,T,F,A,A
22687,63,67,4,4,96,9,3,CLIENTE NUMERO 22687,2023-01-06 20:25:49.000,1986-06-25,M,emailcliente22687@hotmail.com,MAUA,SP,BREJO ALEGRE,SP,T,F,A,B
22706,17,60,1,8,73,2,5,CLIENTE NUMERO 22706,2022-07-25 12:11:19.000,1974-10-25,M,emailcliente22706@hotmail.com,BRASILEIRO ,SP,BIRIGUI,SP,T,F,A,A
22802,18,35,2,8,93,11,4,CLIENTE NUMERO 22802,2021-09-28 08:50:47.000,1986-08-02,F,emailcliente22802@hotmail.com,BIRIGUI,SP,BURITAMA,SP,T,F,A,B
22843,24,63,3,6,100,11,4,CLIENTE NUMERO 22843,2022-12-22 09:53:33.000,1983-03-25,F,emailcliente22843@hotmail.com,ARACATUBA,SP,BURITAMA,SP,T,F,A,A
22870,56,61,4,8,50,4,2,CLIENTE NUMERO 22870,2021-07-12 20:34:35.000,1991-11-25,M,emailcliente22870@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,B
22899,16,53,2,6,80,8,1,CLIENTE NUMERO 22899,2021-06-20 09:31:05.000,1984-04-23,M,emailcliente22899@hotmail.com,BIRIGUI ,SP,BIRIGUI,SP,T,F,A,B
22917,90,45,4,2,9,9,6,CLIENTE NUMERO 22917,2021-10-02 16:04:11.000,1995-12-19,M,emailcliente22917@hotmail.com,BIRIGUI SP,SP,BURITAMA SP,SP,T,F,A,A
22920,89,48,3,3,95,3,3,CLIENTE NUMERO 22920,2022-04-24 11:53:00.000,1995-08-18,M,emailcliente22920@hotmail.com,SANTA HELENA,MA,BIRIGUI,SP,T,F,A,A
22923,61,95,4,4,40,5,1,CLIENTE NUMERO 22923,2021-07-17 09:30:48.000,1998-04-27,F,emailcliente22923@hotmail.com,SJOSE DO RIO PRETO ,SP,BURITAMA,SP,T,F,A,B
22958,8,39,2,7,70,3,5,CLIENTE NUMERO 22958,2022-12-20 17:06:41.000,1973-12-21,M,emailcliente22958@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,B
23063,10,16,4,7,47,5,3,CLIENTE NUMERO 23063,2023-05-02 11:55:34.000,1972-05-09,M,emailcliente23063@hotmail.com,ITABERA,SP,TURIUBA,SP,T,F,A,A
23091,71,31,3,7,49,4,6,CLIENTE NUMERO 23091,2021-01-25 12:57:06.000,1966-06-03,M,emailcliente23091@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,A
23114,50,15,2,1,34,3,4,CLIENTE NUMERO 23114,2021-02-23 18:11:44.000,1983-06-08,M,emailcliente23114@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,B
23130,89,86,4,7,9,4,5,CLIENTE NUMERO 23130,2022-03-17 10:38:20.000,1981-08-13,M,emailcliente23130@hotmail.com,BURITAMA SP,SP,BURITAMA - SP,SP,T,F,A,B
23170,10,5,4,2,102,11,4,CLIENTE NUMERO 23170,2021-02-24 20:33:29.000,1975-08-07,F,emailcliente23170@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,A
23184,91,10,4,5,54,11,3,CLIENTE NUMERO 23184,2021-06-24 08:44:26.000,1973-07-10,M,emailcliente23184@hotmail.com,BURITAMA,SP,BURITAMA,SP,T,F,A,B
23223,41,27,2,7,59,5,1,CLIENTE NUMERO 23223,2021-10-14 20:04:28.000,1978-07-21,F,emailcliente23223@hotmail.com,FATIMA DO SUL,MS,BIRIGUI,SP,T,F,A,B
23235,70,51,2,5,12,7,6,CLIENTE NUMERO 23235,2022-09-24 16:38:51.000,1994-01-05,F,emailcliente23235@hotmail.com,PROMISSAO,SP,BIRIGUI,SP,T,F,A,B
23301,25,34,3,5,44,5,6,CLIENTE NUMERO 23301,2021-08-18 16:39:37.000,1976-09-28,F,emailcliente23301@hotmail.com,BIRIGUI SP,SP,BURITAMA,SP,T,F,A,B
23309,27,55,2,3,41,8,1,CLIENTE NUMERO 23309,2022-07-29 20:14:21.000,1968-11-16,M,emailcliente23309@hotmail.com,TURIUBA,SP,BIRIGUI,SP,T,F,A,B
23340,65,30,3,6,56,1,5,CLIENTE NUMERO 23340,2022-04-08 19:08:07.000,1977-02-27,M,emailcliente23340@hotmail.com,CACULE,BA,BIRIGUI,SP,T,F,A,B
23384,42,21,4,7,90,3,4,CLIENTE NUMERO 23384,2021-06-25 17:27:29.000,1964-11-29,F,emailcliente23384@hotmail.com,ARACATUBA,SP,BREJO ALEGRE,SP,T,F,A,A
23399,15,57,1,2,27,3,3,CLIENTE NUMERO 23399,2021-07-17 16:24:41.000,1960-01-14,M,emailcliente23399@hotmail.com,NILO PECANHA,BA,BURITAMA,SP,T,F,A,A
23409,50,18,3,7,58,11,5,CLIENTE NUMERO 23409,2021-08-09 18:25:17.000,1968-08-03,M,emailcliente23409@hotmail.com,RINOPOLIS,,BIRIGUI,SP,T,F,A,B
23430,65,8,4,2,79,8,3,CLIENTE NUMERO 23430,2021-07-11 12:40:39.000,1978-08-15,M,emailcliente23430@hotmail.com,ILHA SOLTEIRA,SP,BIRIGUI,SP,T,F,A,A
23458,3,48,2,5,85,10,1,CLIENTE NUMERO 23458,2022-05-31 17:59:14.000,1988-05-02,F,emailcliente23458@hotmail.com,BILAC,SP,BIRIGUI,SP,T,F,A,A
23533,18,73,1,5,104,1,3,CLIENTE NUMERO 23533,2022-06-04 09:15:41.000,1970-12-01,M,emailcliente23533@hotmail.com,GUARARAPES,SP,BIRIGUI,SP,T,F,A,B
23550,79,68,4,8,92,7,3,CLIENTE NUMERO 23550,2021-11-05 12:51:22.000,1969-06-28,F,emailcliente23550@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,A
23581,83,46,3,2,10,9,4,CLIENTE NUMERO 23581,2021-06-08 13:06:27.000,1962-07-31,M,emailcliente23581@hotmail.com,BOCAINA SP,,PLANALTO,SP,T,F,A,A
23584,94,65,1,7,74,11,5,CLIENTE NUMERO 23584,2021-01-26 14:56:56.000,1979-06-24,M,emailcliente23584@hotmail.com,ARACATUBA ,SP,BIRIGUI,SP,T,F,A,A
23595,37,1,1,4,98,8,1,CLIENTE NUMERO 23595,2021-06-10 11:33:07.000,1985-02-13,M,emailcliente23595@hotmail.com,GABRIEL MONTEIRO,SP,BIRIGUI,SP,T,F,A,B
23605,15,51,2,3,66,7,4,CLIENTE NUMERO 23605,2022-01-13 11:13:55.000,1952-06-25,F,emailcliente23605@hotmail.com,ITAGIBA,BA,BURITAMA,SP,T,F,A,A
